"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 16:12:05 CST 2023","Thu Jul 06 16:12:05 CST 2023","248","test_cases.test_form_module","test_add_form","TestAddForm","","","test_add_form_baojia",""
"passed","Thu Jul 06 16:12:17 CST 2023","Thu Jul 06 16:12:19 CST 2023","1622","test_cases.test_form_module","test_confirm_price","TestConfirmPrice","","","test_confirm_price",""
"broken","Thu Jul 06 16:12:46 CST 2023","Thu Jul 06 16:13:07 CST 2023","21152","test_cases.test_form_module","test_update_goods","TestUpdateGoods","","","test_update_form_goods_arrive",""
"passed","Thu Jul 06 16:12:09 CST 2023","Thu Jul 06 16:12:17 CST 2023","8623","test_cases.test_form_module","test_confirm_contact","TestConfirmContact","","","test_confirm_contact_arrive",""
"passed","Thu Jul 06 16:12:08 CST 2023","Thu Jul 06 16:12:09 CST 2023","1208","test_cases.test_form_module","test_add_form","TestAddForm","","","test_params_type_str2_error[param22]",""
"passed","Thu Jul 06 16:12:07 CST 2023","Thu Jul 06 16:12:08 CST 2023","170","test_cases.test_form_module","test_add_form","TestAddForm","","","test_params_type_str2_error[12.3]",""
"passed","Thu Jul 06 16:12:43 CST 2023","Thu Jul 06 16:12:45 CST 2023","2330","test_cases.test_form_module","test_receive_form","TestReceiveForm","","","test_receive_arrive",""
"passed","Thu Jul 06 16:12:07 CST 2023","Thu Jul 06 16:12:07 CST 2023","197","test_cases.test_form_module","test_add_form","TestAddForm","","","test_params_type_str2_error[123]",""
"passed","Thu Jul 06 16:12:05 CST 2023","Thu Jul 06 16:12:06 CST 2023","166","test_cases.test_form_module","test_add_form","TestAddForm","","","test_params_type_str_error[123]",""
"broken","Thu Jul 06 16:12:19 CST 2023","Thu Jul 06 16:12:43 CST 2023","23648","test_cases.test_form_module","test_dispatch","TestDispatch","","","test_dispatch_arrive",""
"passed","Thu Jul 06 16:12:06 CST 2023","Thu Jul 06 16:12:06 CST 2023","230","test_cases.test_form_module","test_add_form","TestAddForm","","","test_params_type_str_error[12.3]",""
"passed","Thu Jul 06 16:12:05 CST 2023","Thu Jul 06 16:12:05 CST 2023","207","test_cases.test_form_module","test_add_form","TestAddForm","","","test_add_form_gujia",""
"passed","Thu Jul 06 16:12:45 CST 2023","Thu Jul 06 16:12:46 CST 2023","452","test_cases.test_form_module","test_update_form","TestUpdateForm","","","test_update_form",""
"passed","Thu Jul 06 16:12:06 CST 2023","Thu Jul 06 16:12:07 CST 2023","1399","test_cases.test_form_module","test_add_form","TestAddForm","","","test_params_type_str_error[param12]",""
